sector,sexo,horas_semana,ingreso_mensual,ingreso_por_hora
Informal,Mujer,15,2322,36.0
Formal,Hombre,44,24000,126.85
Informal,Mujer,40,10750,62.5
Informal,Mujer,40,4300,25.0
Informal,Mujer,24,8600,83.33
Formal,Hombre,84,35000,96.9
Informal,Mujer,16,1290,18.75
Informal,Mujer,6,2000,77.52
Formal,Hombre,45,16000,82.69
Informal,Hombre,83,60000,168.11
Formal,Mujer,40,32000,186.05
Informal,Mujer,21,2000,22.15
Informal,Hombre,4,5000,290.7
Informal,Hombre,84,8600,23.81
Informal,Hombre,48,21500,104.17
Informal,Hombre,12,2150,41.67
Formal,Mujer,40,14400,83.72
Formal,Hombre,40,30000,174.42
Informal,Hombre,55,10750,45.45
Formal,Hombre,48,9030,43.75
Informal,Mujer,10,2365,55.0
Informal,Hombre,48,5160,25.0
Informal,Mujer,4,860,50.0
Informal,Hombre,20,10750,125.0
Formal,Mujer,40,6000,34.88
Informal,Hombre,20,6600,76.74
Formal,Mujer,35,8000,53.16
Formal,Hombre,48,8400,40.7
Informal,Mujer,54,12900,55.56
Informal,Mujer,40,10000,58.14
Informal,Mujer,14,3440,57.14
Informal,Mujer,48,20000,96.9
Informal,Mujer,48,20000,96.9
Informal,Hombre,24,8600,83.33
Informal,Hombre,50,17200,80.0
Informal,Mujer,45,8600,44.44
Informal,Mujer,16,2150,31.25
Informal,Hombre,42,860,4.76
Informal,Hombre,66,6450,22.73
Informal,Mujer,48,12900,62.5
Formal,Hombre,55,25000,105.71
Formal,Mujer,40,14000,81.4
Informal,Hombre,32,2580,18.75
Formal,Hombre,48,18000,87.21
Informal,Hombre,54,8600,37.04
Informal,Mujer,8,860,25.0
Formal,Hombre,62,8000,30.01
Formal,Hombre,84,9890,27.38
Formal,Hombre,45,10000,51.68
Informal,Hombre,20,8600,100.0
Formal,Mujer,45,10000,51.68
Informal,Hombre,51,19350,88.24
Informal,Mujer,6,2150,83.33
Informal,Mujer,8,10000,290.7
Informal,Hombre,8,4000,116.28
Formal,Mujer,49,32000,151.87
Informal,Mujer,37,6020,37.84
Informal,Hombre,10,1720,40.0
Informal,Mujer,9,10000,258.4
Informal,Mujer,10,12900,300.0
Informal,Mujer,2,2150,250.0
Formal,Hombre,56,20000,83.06
Formal,Hombre,35,13600,90.37
Informal,Mujer,40,16000,93.02
Formal,Mujer,48,5160,25.0
Informal,Mujer,2,430,50.0
Informal,Hombre,30,4300,33.33
Informal,Mujer,29,10000,80.19
Formal,Hombre,45,60000,310.08
Informal,Hombre,51,19350,88.24
Informal,Mujer,20,9000,104.65
Informal,Hombre,12,1548,30.0
Informal,Hombre,30,86000,666.67
Informal,Hombre,60,16000,62.02
Informal,Mujer,24,10000,96.9
Informal,Mujer,15,4300,66.67
Informal,Mujer,35,7740,51.43
Formal,Mujer,40,19350,112.5
Formal,Mujer,40,14000,81.4
Formal,Hombre,72,14000,45.22
Formal,Hombre,45,15000,77.52
Informal,Mujer,36,7740,50.0
Formal,Hombre,40,8000,46.51
Informal,Mujer,48,25000,121.12
Informal,Hombre,10,2150,50.0
Informal,Mujer,20,5160,60.0
Informal,Mujer,50,30000,139.53
Informal,Mujer,30,15480,120.0
Informal,Hombre,40,5160,30.0
Informal,Hombre,60,25800,100.0
Informal,Mujer,10,4300,100.0
Informal,Hombre,50,4300,20.0
Formal,Hombre,40,12000,69.77
Informal,Mujer,20,8600,100.0
Informal,Mujer,50,21000,97.67
Formal,Mujer,34,13000,88.92
Informal,Hombre,42,5160,28.57
Informal,Hombre,36,6450,41.67
Formal,Mujer,36,40000,258.4
Formal,Hombre,72,16000,51.68
Informal,Hombre,51,15050,68.63
Informal,Hombre,16,3440,50.0
Informal,Mujer,10,3440,80.0
Informal,Mujer,35,4300,28.57
Formal,Hombre,54,50000,215.33
Informal,Mujer,8,5160,150.0
Informal,Mujer,12,2580,50.0
Informal,Hombre,56,7525,31.25
Informal,Mujer,27,3010,25.93
Informal,Hombre,50,12470,58.0
Formal,Mujer,60,15050,58.33
Formal,Hombre,51,15000,68.4
Informal,Mujer,44,6000,31.71
Informal,Hombre,42,21500,119.05
Informal,Mujer,54,2580,11.11
Informal,Mujer,48,8600,41.67
Informal,Mujer,49,6020,28.57
Informal,Hombre,55,10320,43.64
Formal,Hombre,35,40000,265.78
Formal,Hombre,48,10000,48.45
Formal,Hombre,48,8000,38.76
Informal,Hombre,4,14000,813.95
Formal,Hombre,36,40000,258.4
